fold,epoch,supervised_loss,semi_supervised_loss
1,1,0.2681701421737671,0
1,2,0.067755126953125,0
1,3,0.03740743001302083,0
1,4,0.03310147523880005,0
1,5,0.026424686113993328,0
1,6,0.02557926575342814,0
1,7,0.026464374860127766,0
1,8,0.025672213236490885,0
1,9,0.02417022784550985,0
1,10,0.0220030943552653,0
1,11,0.021953550974527995,0
1,12,0.02487438122431437,0
1,13,0.02835359573364258,3.925919349197872e-05
1,14,0.08569566408793132,0
1,15,0.03859837849934896,8.139687393290493e-06
1,16,0.04130154848098755,0
1,17,0.03310113350550334,1.8551968073902222e-06
1,18,0.05633673270543416,0
1,19,0.032723188400268555,1.8821275219894373e-06
1,20,0.03504636287689209,0
1,21,0.03781774838765462,0.0
1,22,0.034806724389394125,0
1,23,0.026736934979756672,0.0
1,24,0.0293317715326945,0
1,25,0.025815757115681966,0.0
1,26,0.03169632752736409,0
1,27,0.02328329086303711,0.0
1,28,0.028198190530141196,0
1,29,0.026253581047058105,2.70333973905788e-07
1,30,0.033701141675313316,0
2,1,0.023001352945963543,0
2,2,0.022211031119028727,0
2,3,0.026467319329579672,0
2,4,0.02341725826263428,0
2,5,0.021875937779744465,0
2,6,0.02594120502471924,0
2,7,0.027154537041982015,0
2,8,0.02555424769719442,0
2,9,0.023355849583943687,0
2,10,0.028307863076527915,0
2,11,0.023311106363932292,0
2,12,0.02625456651051839,0
2,13,0.020883989334106446,0.011182006189169792
2,14,0.02263513406117757,0
2,15,0.02491465409596761,0.01733509313315153
2,16,0.03161957263946533,0
2,17,0.028948811690012614,0.007441632455626789
2,18,0.03167952299118042,0
2,19,0.022752479712168375,0.0
2,20,0.035801895459493,0
2,21,0.031953080495198564,0.0
2,22,0.03933006525039673,0
2,23,0.032804389794667564,0.0
2,24,0.037872620423634845,0
2,25,0.03188665310541789,0.0
2,26,0.038253533840179446,0
2,27,0.030249706904093423,0.0
2,28,0.03882877826690674,0
2,29,0.030728216965993246,0.0
2,30,0.035628084341684976,0
3,1,0.032128000259399415,0
3,2,0.02789023717244466,0
3,3,0.026059544086456297,0
3,4,0.02355180581410726,0
3,5,0.021256474653879802,0
3,6,0.02169206937154134,0
3,7,0.019745302200317384,0
3,8,0.021128106117248534,0
3,9,0.02336110273996989,0
3,10,0.01936344305674235,0
3,11,0.027526938915252687,0
3,12,0.019395720958709717,0
3,13,0.016562366485595705,0.0
3,14,0.02772138516108195,0
3,15,0.022474825382232666,0.0
3,16,0.03179787794748942,0
3,17,0.023993392785390217,0.0
3,18,0.03188943068186442,0
3,19,0.028283524513244628,0.0
3,20,0.03357581297556559,0
3,21,0.029605563481648764,0.0
3,22,0.03511970043182373,0
3,23,0.026913992563883462,0.0
3,24,0.03494691848754883,0
3,25,0.028368584314982095,0.0
3,26,0.03491593201955159,0
3,27,0.028107619285583495,0.0
3,28,0.0370236078898112,0
3,29,0.025877821445465087,0.0
3,30,0.03401736815770467,0
