fold,epoch,supervised_loss,semi_supervised_loss
1,1,0.38080152769883474,0
1,2,0.08410195211569468,0
1,3,0.04526224521299203,0
1,4,0.050483376160264014,0
1,5,0.04061463338633378,0
1,6,0.030820426469047865,0
1,7,0.031193349262078604,0
1,8,0.029834361684819063,0
1,9,0.02722364794462919,0
1,10,0.026049537335832915,0
1,11,0.022219900600612165,0
1,12,0.023841394980748495,0
1,13,0.03633726133654515,8.050684911455373e-11
1,14,0.11755518540740013,0
1,15,0.06790694445371628,5.518674228710552e-10
1,16,0.08460878568391005,0
1,17,0.0819892767816782,3.3026608866529946e-10
1,18,0.09361821686228117,0
1,19,0.07160713064173857,2.311097699539197e-10
1,20,0.10730141401290894,0
1,21,0.0882907286286354,1.7089114738684413e-10
1,22,0.05417462935050329,0
1,23,0.06435196238259475,2.0170006656336716e-10
1,24,0.08203943644960722,0
1,25,0.06651910617947579,1.7647262591406862e-10
1,26,0.06933271835247676,0
1,27,0.06230407866338889,1.1789777974404213e-10
1,28,0.062016240507364276,0
1,29,0.06283212974667549,0.0
1,30,0.0718664380411307,0
2,1,0.05613846133152644,0
2,2,0.05249422813455264,0
2,3,0.06439107805490493,0
2,4,0.058197406803568205,0
2,5,0.05028660744428635,0
2,6,0.05786571900049845,0
2,7,0.06223385607202848,0
2,8,0.05785902577141921,0
2,9,0.0491653082271417,0
2,10,0.06607652679085732,0
2,11,0.05267485789954662,0
2,12,0.05603190809488297,0
2,13,0.03867770433425903,0.0
2,14,0.045870365326603255,0
2,15,0.054036847005287804,0.0
2,16,0.06975708976387977,0
2,17,0.058556351065635684,0.0
2,18,0.062080440173546476,0
2,19,0.048512190207839014,0.0
2,20,0.06633147398630777,0
2,21,0.07037017568945884,0.0
2,22,0.08270024880766869,0
2,23,0.06932908482849598,0.0
2,24,0.07024416228135427,0
2,25,0.06517774909734726,0.0
2,26,0.06442339246471723,0
2,27,0.05769127657016118,0.0
2,28,0.07466648245851198,0
2,29,0.057842671126127246,0.0
2,30,0.06954301794370016,0
3,1,0.0658273217578729,0
3,2,0.05398010325928529,0
3,3,0.049974254642923675,0
3,4,0.04698127980033557,0
3,5,0.046228921661774315,0
3,6,0.04201862998306751,0
3,7,0.043255093569556875,0
3,8,0.03829663023352623,0
3,9,0.04887147222956022,0
3,10,0.04038734957575798,0
3,11,0.059877912327647206,0
3,12,0.0414984551568826,0
3,13,0.0332227590183417,0.0
3,14,0.05199846389393012,0
3,15,0.0455013153453668,0.0
3,16,0.06056479687492053,0
3,17,0.048170283809304236,0.0
3,18,0.05455560858050982,0
3,19,0.04994868362943331,0.0
3,20,0.0596402237812678,0
3,21,0.05957064727942149,0.0
3,22,0.06079541842142741,0
3,23,0.05117096727093061,0.0
3,24,0.06491542086005211,0
3,25,0.054759663467605905,0.0
3,26,0.06737773219744364,0
3,27,0.04641121253371239,0.0
3,28,0.07282237038016319,0
3,29,0.04876876398921013,0.0
3,30,0.06025286292036374,0
