fold,epoch,supervised_loss,semi_supervised_loss
1,1,0.3608468254407247,0
1,2,0.08243729447325071,0
1,3,0.04231542597214381,0
1,4,0.045344711591800056,0
1,5,0.034930968284606935,0
1,6,0.031035496667027474,0
1,7,0.027986105407277743,0
1,8,0.029824081063270568,0
1,9,0.02287555777778228,0
1,10,0.020620060339570045,0
1,11,0.021786942146718502,0
1,12,0.023955759095648923,0
1,13,0.02907157832135757,36.83339622564483
1,14,0.024121989930669465,0
1,15,0.020221989912291367,36.83571615585914
1,16,0.025063073510924974,0
1,17,0.026797949708998202,36.836419142209564
1,18,0.026064402982592584,0
1,19,0.01719378437846899,36.83474015148446
1,20,0.020236113791664442,0
1,21,0.0323830875257651,36.83557560610673
1,22,0.020186896001299224,0
1,23,0.02057208145658175,36.832062163442934
1,24,0.027622624362508456,0
1,25,0.02454952790091435,36.83234173087187
1,26,0.01967752364774545,0
1,27,0.016951322679718335,36.83582516674582
1,28,0.018383658180634182,0
1,29,0.020507511558632056,36.83691639274494
1,30,0.02348828489581744,0
2,1,0.03216949465374152,0
2,2,0.02703541951874892,0
2,3,0.028405396826565267,0
2,4,0.02832960939655701,0
2,5,0.019851600068310896,0
2,6,0.022139303075770538,0
2,7,0.02220694161951542,0
2,8,0.02769019970049461,0
2,9,0.020179578537742295,0
2,10,0.021255595547457536,0
2,11,0.01982761137187481,0
2,12,0.018191666187097628,0
2,13,0.0204560661688447,36.837808241224074
2,14,0.015049600973725319,0
2,15,0.017750044477482636,36.826072430391925
2,16,0.02443028160681327,0
2,17,0.024613394464055697,36.8367271595173
2,18,0.01803652017066876,0
2,19,0.012074280095597108,36.837293712370986
2,20,0.018008414190262556,0
2,21,0.02356908197204272,36.8326244694846
2,22,0.015719719137996434,0
2,23,0.031258031912148,36.83886201391916
2,24,0.028951476762692132,0
2,25,0.03305911980569363,36.83233276929724
2,26,0.025701931801935037,0
2,27,0.02800599510471026,36.837035754779436
2,28,0.025130156241357327,0
2,29,0.019880102885266145,36.81804676143002
2,30,0.014840320528795322,0
3,1,0.027195215597748755,0
3,2,0.0234498576571544,0
3,3,0.021534283521274726,0
3,4,0.02255199458450079,0
3,5,0.017167003452777864,0
3,6,0.014863461131850879,0
3,7,0.020178265310823916,0
3,8,0.01944839513550202,0
3,9,0.020809807069599628,0
3,10,0.016144477917502325,0
3,11,0.023126994321743647,0
3,12,0.01493533921117584,0
3,13,0.010807726439088583,36.82893875542037
3,14,0.017778122331947088,0
3,15,0.015803057265778384,36.83622252795161
3,16,0.018364124248425165,0
3,17,0.017126831412315368,36.83528995513916
3,18,0.014239646929005782,0
3,19,0.017050527967512608,36.83416170778528
3,20,0.01390884816646576,0
3,21,0.013348338939249516,36.8310447181623
3,22,0.01500602498029669,0
3,23,0.011753277573734521,36.83612175166887
3,24,0.015161142218858004,0
3,25,0.012583126189808051,36.83284094526961
3,26,0.0143858234398067,0
3,27,0.012930974426368872,36.80187341901991
3,28,0.02593398131430149,0
3,29,0.023134116704265278,36.8331810699846
3,30,0.030996808037161826,0
