fold,epoch,supervised_loss,semi_supervised_loss
1,1,0.4165388981501261,0
1,2,0.10371497372786204,0
1,3,0.04683602601289749,0
1,4,0.05139868321518103,0
1,5,0.04183350230256717,0
1,6,0.034312526633342104,0
1,7,0.030993495757381122,0
1,8,0.02977998989323775,0
1,9,0.026118161529302596,0
1,10,0.02638546930005153,0
1,11,0.020658109212915103,0
1,12,0.024808038274447122,0
1,13,0.032678863902886705,0.021591638821678666
1,14,0.14318968678514163,0
1,15,0.07581545536716779,0.03165143081273597
1,16,0.09770413984855016,0
1,17,0.08470179090897242,0.018731559592370804
1,18,0.0808010866244634,0
1,19,0.06967021437982718,0.015352989182664225
1,20,0.08597341254353523,0
1,21,0.08879987696806589,0.009678470742745469
1,22,0.05722513434787591,0
1,23,0.06603048245112102,0.0067667039799898
1,24,0.08365759675701459,0
1,25,0.07327621504664421,0.004795689160863941
1,26,0.06521052991350491,0
1,27,0.06511549105246862,0.003848032284922038
1,28,0.0663625900944074,0
1,29,0.06943675267199675,0.002119307970502772
1,30,0.08296006222565969,0
2,1,0.0572094506273667,0
2,2,0.05686937893430392,0
2,3,0.06679644510149955,0
2,4,0.06062255414823691,0
2,5,0.05237841506799062,0
2,6,0.060706229383746785,0
2,7,0.06234785355627537,0
2,8,0.054860228672623634,0
2,9,0.04852433167397976,0
2,10,0.06309731677174568,0
2,11,0.04980145891507467,0
2,12,0.06251464063922564,0
2,13,0.03752225351830323,0.0
2,14,0.04006955673297246,0
2,15,0.05012821344037851,0.0
2,16,0.06603823825716973,0
2,17,0.056833349416653314,0.0
2,18,0.06639523183306058,0
2,19,0.04744328794380029,0.0
2,20,0.06347064351042112,0
2,21,0.06951570585370064,0.0
2,22,0.07570519993702571,0
2,23,0.06988346700867017,0.0
2,24,0.07165092850724857,0
2,25,0.06487017745772998,0.0
2,26,0.061513834695021315,0
2,27,0.05605209718147914,0.0
2,28,0.06735747928420703,0
2,29,0.05386747121810913,0.0
2,30,0.057399623841047284,0
3,1,0.06102834915121396,0
3,2,0.05408168223996957,0
3,3,0.049413147817055386,0
3,4,0.04737921667595704,0
3,5,0.04425371823211511,0
3,6,0.04065389707684517,0
3,7,0.041700253759821254,0
3,8,0.0350243645409743,0
3,9,0.046676465620597206,0
3,10,0.037419668833414715,0
3,11,0.05800671006242434,0
3,12,0.039894002179304756,0
3,13,0.030743694740037124,0.0
3,14,0.05112217937906583,0
3,15,0.04303815190990766,0.0
3,16,0.05277514283855756,0
3,17,0.04523299137751261,0.0
3,18,0.0517997071146965,0
3,19,0.050091371933619185,0.0
3,20,0.05451077396670977,0
3,21,0.060239635532100995,0.0
3,22,0.059605244050423306,0
3,23,0.04651755976180236,0.0
3,24,0.06992193758487701,0
3,25,0.05292084490259488,0.0
3,26,0.06697878738244374,0
3,27,0.048122288783391316,0.0
3,28,0.0667648824552695,0
3,29,0.04468374935289224,0.0
3,30,0.058224512015779814,0
