fold,epoch,supervised_loss,semi_supervised_loss
1,1,0.1960713744163513,0
1,2,0.037415297826131184,0
1,3,0.020355435212453206,0
1,4,0.021735878785451253,0
1,5,0.018506149450937908,0
1,6,0.01730226675669352,0
1,7,0.016211259365081786,0
1,8,0.016422518094380698,0
1,9,0.015997064113616944,0
1,10,0.013877479235331218,0
1,11,0.013970637321472168,0
1,12,0.01733392874399821,0
1,13,0.021713324387868247,36.83627164774928
1,14,0.013196015357971191,0
1,15,0.01327950954437256,36.83389801495926
1,16,0.016827066739400227,0
1,17,0.01931289831797282,36.81318142630837
1,18,0.016635950406392416,0
1,19,0.014764555295308431,36.82915869213286
1,20,0.01599939266840617,0
1,21,0.02179748217264811,36.83737034700355
1,22,0.011148198445638021,0
1,23,0.014139036337534586,36.83299173388565
1,24,0.012110598882039388,0
1,25,0.015038502216339112,36.83355428432596
1,26,0.012168256441752116,0
1,27,0.013513497511545817,36.83641455968221
1,28,0.012004045645395915,0
1,29,0.013944609959920248,36.83412402078986
1,30,0.013427098592122396,0
2,1,0.014267853895823161,0
2,2,0.013725610574086507,0
2,3,0.017622931798299154,0
2,4,0.015311165650685628,0
2,5,0.013266452153523763,0
2,6,0.019325196743011475,0
2,7,0.019950405756632487,0
2,8,0.016748257478078208,0
2,9,0.015936283270517985,0
2,10,0.020995132128397622,0
2,11,0.01647607088088989,0
2,12,0.018432426452636718,0
2,13,0.01385329564412435,36.83356315211246
2,14,0.008534300327301025,0
2,15,0.0142013152440389,36.83670525002269
2,16,0.015150781472524006,0
2,17,0.017949763933817545,36.83491878422428
2,18,0.014506789048512776,0
2,19,0.010546024640401204,36.834362857109674
2,20,0.013032285372416179,0
2,21,0.01737825075785319,36.8285100724962
2,22,0.012585167090098064,0
2,23,0.016229331493377686,36.81918061487207
2,24,0.014301105340321859,0
2,25,0.01812820831934611,36.82793078215226
2,26,0.013466389973958333,0
2,27,0.012705981731414795,36.83428306917174
2,28,0.014305853843688964,0
2,29,0.013021508852640787,36.822130867038005
2,30,0.011552536487579345,0
3,1,0.01602187951405843,0
3,2,0.017488670349121094,0
3,3,0.01431709925333659,0
3,4,0.012817498048146565,0
3,5,0.013105650742848715,0
3,6,0.01243906021118164,0
3,7,0.012941074371337891,0
3,8,0.011850651105244954,0
3,9,0.014141889413197835,0
3,10,0.011479055881500244,0
3,11,0.018332986036936443,0
3,12,0.01257650852203369,0
3,13,0.009414740403493245,36.82639914867925
3,14,0.01297990878423055,0
3,15,0.01163642406463623,36.82002147500446
3,16,0.012553401788075765,0
3,17,0.011203293005625408,36.82370289889249
3,18,0.012175909678141276,0
3,19,0.013142804304758707,36.81873943569424
3,20,0.012119793891906738,0
3,21,0.015259019533793132,36.810943603515625
3,22,0.012523861726125081,0
3,23,0.010300747553507487,36.8038163618608
3,24,0.01563615401585897,0
3,25,0.012219377358754476,36.804832863922854
3,26,0.014490942160288492,0
3,27,0.009618087609608968,36.82222510908292
3,28,0.015734060605367025,0
3,29,0.0114247997601827,36.82384019297332
3,30,0.01468896468480428,0
